Freq,Real,Imag,Phase,Impedance,Gain
30000,4710.37,354.61,0.08,4723.70,0.000000010497
30000,4710.48,349.09,0.07,4723.40,0.000000010497
30000,4710.25,348.62,0.07,4723.14,0.000000010497
30000,4710.91,343.52,0.07,4723.42,0.000000010497
30000,4710.62,338.88,0.07,4722.79,0.000000010497
30000,4710.19,339.44,0.07,4722.41,0.000000010497
30000,4711.13,338.98,0.07,4723.31,0.000000010497
30000,4710.85,339.35,0.07,4723.06,0.000000010497
30000,4710.81,339.02,0.07,4722.99,0.000000010497
30000,4710.89,339.68,0.07,4723.13,0.000000010497
30000,4711.04,339.49,0.07,4723.25,0.000000010497
30000,4710.72,338.36,0.07,4722.85,0.000000010497
30000,4711.14,337.80,0.07,4723.24,0.000000010497
30000,4711.23,338.46,0.07,4723.37,0.000000010497
30000,4710.19,339.44,0.07,4722.41,0.000000010497
30000,4710.89,339.68,0.07,4723.13,0.000000010497
30000,4711.09,338.65,0.07,4723.25,0.000000010497
30000,4710.72,338.36,0.07,4722.85,0.000000010497
30000,4711.23,338.46,0.07,4723.37,0.000000010497
30000,4711.10,337.48,0.07,4723.17,0.000000010497
30000,4711.10,337.48,0.07,4723.17,0.000000010497
30000,4710.95,338.83,0.07,4723.12,0.000000010497
30000,4710.43,338.74,0.07,4722.60,0.000000010497
30000,4711.05,338.32,0.07,4723.18,0.000000010497
30000,4710.95,338.83,0.07,4723.12,0.000000010497
30000,4710.49,337.89,0.07,4722.59,0.000000010497
30000,4711.37,338.27,0.07,4723.50,0.000000010497
30000,4710.76,338.69,0.07,4722.92,0.000000010497
30000,4710.86,338.18,0.07,4722.98,0.000000010497
30000,4710.91,337.33,0.07,4722.97,0.000000010497
30000,4710.95,338.83,0.07,4723.12,0.000000010497
30000,4711.00,337.99,0.07,4723.11,0.000000010497
30000,4711.24,337.29,0.07,4723.30,0.000000010497
30000,4711.43,337.43,0.07,4723.49,0.000000010497
30000,4710.63,337.71,0.07,4722.72,0.000000010497
30000,4711.19,338.13,0.07,4723.31,0.000000010497
30000,4711.28,337.62,0.07,4723.36,0.000000010497
30000,4710.72,337.19,0.07,4722.78,0.000000010497
30000,4711.38,337.10,0.07,4723.43,0.000000010497
30000,4711.61,337.57,0.07,4723.69,0.000000010497
30000,4711.00,337.99,0.07,4723.11,0.000000010497
30000,4711.57,337.24,0.07,4723.62,0.000000010497
30000,4711.34,335.60,0.07,4723.28,0.000000010497
30000,4711.90,336.03,0.07,4723.87,0.000000010497
30000,4712.24,334.81,0.07,4724.12,0.000000010497
30000,4712.29,332.80,0.07,4724.03,0.000000010497
30000,4715.12,325.54,0.07,4726.35,0.000000010497
30000,4724.22,289.92,0.06,4733.11,0.000000010497
30000,4726.70,278.07,0.06,4734.88,0.000000010497
30000,4727.73,275.04,0.06,4735.72,0.000000010497
30000,4730.60,264.93,0.06,4738.02,0.000000010497
30000,4728.99,270.44,0.06,4736.72,0.000000010497
30000,4731.17,263.32,0.06,4738.50,0.000000010497
30000,4735.32,250.08,0.05,4741.92,0.000000010497
30000,4743.68,217.63,0.05,4748.67,0.000000010497
30000,4757.97,170.97,0.04,4761.04,0.000000010497
30000,4787.86,88.29,0.02,4788.67,0.000000010497
30000,4815.19,32.75,0.01,4815.30,0.000000010497
30000,4856.38,-16.78,-0.00,4856.41,0.000000010497
30000,4906.89,-53.28,-0.01,4907.17,0.000000010497
30000,4955.56,-87.29,-0.02,4956.33,0.000000010497
30000,4995.86,-109.49,-0.02,4997.06,0.000000010497
30000,5004.55,-110.44,-0.02,5005.77,0.000000010497
30000,5012.44,-113.28,-0.02,5013.72,0.000000010497
30000,5046.19,-131.30,-0.03,5047.90,0.000000010497
30000,5106.55,-166.27,-0.03,5109.25,0.000000010497
30000,5162.60,-192.71,-0.04,5166.20,0.000000010497
30000,5246.67,-218.56,-0.04,5251.22,0.000000010497
30000,5404.36,-275.70,-0.05,5411.39,0.000000010497
30000,5695.94,-395.22,-0.07,5709.63,0.000000010497
30000,6185.27,-477.13,-0.08,6203.64,0.000000010497
30000,7838.05,-678.19,-0.09,7867.34,0.000000010497
30000,10377.46,-896.00,-0.09,10416.07,0.000000010497
30000,11869.28,-982.07,-0.08,11909.84,0.000000010497
30000,12896.47,-1003.47,-0.08,12935.45,0.000000010497
30000,14066.48,-1119.67,-0.08,14110.97,0.000000010497
30000,14671.76,-1164.59,-0.08,14717.91,0.000000010497
30000,15061.56,-1219.96,-0.08,15110.89,0.000000010497
30000,15371.03,-1220.06,-0.08,15419.37,0.000000010497
30000,15561.84,-1242.31,-0.08,15611.35,0.000000010497
30000,15621.86,-1272.57,-0.08,15673.61,0.000000010497
30000,15985.68,-1270.48,-0.08,16036.09,0.000000010497
30000,14563.07,-1277.26,-0.09,14618.97,0.000000010497
30000,13601.85,-1170.89,-0.09,13652.16,0.000000010497
30000,13302.52,-1254.08,-0.09,13361.50,0.000000010497
30000,12088.24,-972.98,-0.08,12127.34,0.000000010497
30000,10743.34,-714.38,-0.07,10767.06,0.000000010497
30000,11526.90,-790.23,-0.07,11553.96,0.000000010497
30000,11816.43,-897.24,-0.08,11850.45,0.000000010497
30000,12166.13,-982.93,-0.08,12205.77,0.000000010497
30000,12389.44,-1011.12,-0.08,12430.63,0.000000010497
30000,13127.26,-1068.22,-0.08,13170.65,0.000000010497
30000,13576.04,-1138.56,-0.08,13623.70,0.000000010497
30000,12669.69,-1016.15,-0.08,12710.38,0.000000010497
30000,12448.25,-972.52,-0.08,12486.18,0.000000010497
30000,13280.53,-1026.31,-0.08,13320.12,0.000000010497
30000,14052.64,-1149.06,-0.08,14099.54,0.000000010497
30000,14258.74,-1172.18,-0.08,14306.84,0.000000010497
30000,14619.84,-1214.51,-0.08,14670.20,0.000000010497
30000,14492.29,-1176.79,-0.08,14539.99,0.000000010497
30000,15030.69,-1121.78,-0.07,15072.49,0.000000010497
30000,15190.65,-1214.56,-0.08,15239.13,0.000000010497
30000,15236.06,-1276.25,-0.08,15289.42,0.000000010497
30000,15021.95,-1287.25,-0.09,15077.01,0.000000010497
30000,14665.72,-1215.06,-0.08,14715.97,0.000000010497
30000,15491.69,-1183.92,-0.08,15536.87,0.000000010497
30000,15680.31,-1251.54,-0.08,15730.17,0.000000010497
30000,14850.25,-1197.99,-0.08,14898.49,0.000000010497
30000,14780.30,-1134.65,-0.08,14823.79,0.000000010497
30000,15224.61,-1116.13,-0.07,15265.47,0.000000010497
30000,15880.15,-1155.22,-0.07,15922.11,0.000000010497
30000,15514.35,-1142.99,-0.07,15556.40,0.000000010497
30000,15574.03,-1164.21,-0.07,15617.49,0.000000010497
30000,16011.68,-1223.55,-0.08,16058.36,0.000000010497
30000,16280.84,-1253.36,-0.08,16329.01,0.000000010497
30000,16538.74,-1245.83,-0.08,16585.60,0.000000010497
30000,16754.08,-1237.19,-0.07,16799.69,0.000000010497
30000,16938.81,-1234.87,-0.07,16983.76,0.000000010497
30000,17208.72,-1217.89,-0.07,17251.76,0.000000010497
30000,17261.14,-1214.60,-0.07,17303.82,0.000000010497
30000,17429.95,-1193.76,-0.07,17470.78,0.000000010497
30000,17542.48,-1198.55,-0.07,17583.37,0.000000010497
30000,17572.60,-1204.31,-0.07,17613.82,0.000000010497
30000,17696.38,-1187.83,-0.07,17736.20,0.000000010497
30000,17781.53,-1168.68,-0.07,17819.89,0.000000010497
30000,14049.24,-1001.44,-0.07,14084.89,0.000000010497
30000,12296.89,-819.11,-0.07,12324.14,0.000000010497
30000,11489.60,-752.34,-0.07,11514.20,0.000000010497
30000,11308.29,-744.28,-0.07,11332.75,0.000000010497
30000,11186.07,-696.74,-0.06,11207.75,0.000000010497
30000,11161.82,-675.33,-0.06,11182.23,0.000000010497
30000,11358.85,-692.02,-0.06,11379.91,0.000000010497
30000,11794.54,-707.05,-0.06,11815.71,0.000000010497
30000,12011.11,-692.47,-0.06,12031.05,0.000000010497
30000,12034.91,-674.37,-0.06,12053.79,0.000000010497
30000,12043.24,-662.62,-0.05,12061.46,0.000000010497
30000,11948.01,-654.88,-0.05,11965.95,0.000000010497
30000,11796.29,-646.08,-0.05,11813.97,0.000000010497
30000,11561.99,-636.81,-0.06,11579.51,0.000000010497
30000,11123.22,-609.21,-0.05,11139.90,0.000000010497
30000,10592.32,-575.14,-0.05,10607.92,0.000000010497
30000,10062.25,-544.87,-0.05,10076.99,0.000000010497
30000,9564.25,-528.50,-0.06,9578.84,0.000000010497
30000,8782.30,-462.52,-0.05,8794.47,0.000000010497
30000,8043.14,-386.12,-0.05,8052.40,0.000000010497
30000,7627.15,-365.20,-0.05,7635.89,0.000000010497
30000,7506.24,-345.80,-0.05,7514.20,0.000000010497
30000,7325.75,-323.77,-0.04,7332.91,0.000000010497
30000,7096.85,-308.37,-0.04,7103.54,0.000000010497
30000,6987.89,-295.98,-0.04,6994.16,0.000000010497
30000,6846.50,-284.54,-0.04,6852.41,0.000000010497
30000,6754.79,-281.06,-0.04,6760.64,0.000000010497
30000,6667.15,-273.33,-0.04,6672.75,0.000000010497
30000,6544.48,-264.90,-0.04,6549.84,0.000000010497
30000,6399.87,-253.21,-0.04,6404.88,0.000000010497
30000,6456.60,-248.79,-0.04,6461.39,0.000000010497
30000,6416.15,-246.24,-0.04,6420.88,0.000000010497
30000,6367.80,-243.84,-0.04,6372.47,0.000000010497
30000,6288.05,-240.58,-0.04,6292.65,0.000000010497
30000,6233.10,-235.44,-0.04,6237.54,0.000000010497
30000,6251.12,-233.46,-0.04,6255.48,0.000000010497
30000,6199.91,-233.27,-0.04,6204.29,0.000000010497
30000,6114.22,-231.01,-0.04,6118.58,0.000000010497
30000,6111.83,-234.27,-0.04,6116.31,0.000000010497
30000,6011.07,-234.08,-0.04,6015.63,0.000000010497
30000,5938.67,-230.05,-0.04,5943.12,0.000000010497
30000,5945.09,-231.60,-0.04,5949.60,0.000000010497
30000,5864.01,-228.75,-0.04,5868.47,0.000000010497
30000,5844.56,-226.94,-0.04,5848.97,0.000000010497
30000,5820.26,-226.25,-0.04,5824.66,0.000000010497
30000,5770.58,-223.73,-0.04,5774.92,0.000000010497
30000,5704.12,-210.86,-0.04,5708.02,0.000000010497
30000,5718.18,-212.68,-0.04,5722.13,0.000000010497
30000,5680.28,-207.99,-0.04,5684.09,0.000000010497
