Freq,Real,Imag,Phase,Impedance,Gain
5000,12193.53,-475.59,-0.04,12202.80,0.000000010351
5000,12194.97,-483.31,-0.04,12204.54,0.000000010351
5000,12199.62,-481.84,-0.04,12209.13,0.000000010351
10000,12122.81,-111.54,-0.01,12123.32,0.000000010363
10000,12121.51,-113.26,-0.01,12122.04,0.000000010363
10000,12120.00,-113.47,-0.01,12120.54,0.000000010363
15000,12074.03,92.12,0.01,12074.38,0.000000010398
15000,12079.51,95.14,0.01,12079.88,0.000000010398
15000,12075.80,97.29,0.01,12076.19,0.000000010398
20000,12046.48,254.06,0.02,12049.16,0.000000010449
20000,12047.89,254.61,0.02,12050.58,0.000000010449
20000,12046.16,250.68,0.02,12048.77,0.000000010449
25000,12067.36,397.78,0.03,12073.92,0.000000010462
25000,12070.01,402.60,0.03,12076.73,0.000000010462
25000,12068.01,399.84,0.03,12074.63,0.000000010462
30000,12086.19,504.81,0.04,12096.73,0.000000010495
30000,12087.89,502.24,0.04,12098.32,0.000000010495
30000,12088.32,504.37,0.04,12098.84,0.000000010495
35000,12101.90,602.47,0.05,12116.88,0.000000010534
35000,12098.51,623.68,0.05,12114.58,0.000000010534
35000,12109.09,608.34,0.05,12124.36,0.000000010534
40000,12120.80,735.41,0.06,12143.09,0.000000010589
40000,12124.14,729.90,0.06,12146.09,0.000000010589
40000,12110.89,732.05,0.06,12132.99,0.000000010589
45000,12083.96,779.85,0.06,12109.10,0.000000010658
45000,12238.78,818.53,0.07,12266.12,0.000000010658
45000,12187.29,935.65,0.08,12223.16,0.000000010658
50000,12140.89,946.34,0.08,12177.72,0.000000010732
50000,12148.43,943.32,0.08,12185.00,0.000000010732
50000,12150.75,926.54,0.08,12186.03,0.000000010732
55000,12175.84,1051.38,0.09,12221.15,0.000000010797
55000,12171.92,1033.42,0.08,12215.72,0.000000010797
55000,12180.88,1050.58,0.09,12226.10,0.000000010797
60000,12202.95,1137.65,0.09,12255.87,0.000000010882
60000,12196.58,1134.93,0.09,12249.27,0.000000010882
60000,12204.76,1133.40,0.09,12257.28,0.000000010882
65000,12237.62,1203.23,0.10,12296.63,0.000000010975
65000,12233.24,1223.55,0.10,12294.28,0.000000010975
65000,12239.88,1228.53,0.10,12301.38,0.000000010975
70000,12256.24,1304.25,0.11,12325.44,0.000000011067
70000,12264.50,1302.66,0.11,12333.49,0.000000011067
70000,12257.57,1302.28,0.11,12326.56,0.000000011067
75000,12306.42,1408.00,0.11,12386.70,0.000000011158
75000,12317.24,1394.94,0.11,12395.97,0.000000011158
75000,12312.92,1403.96,0.11,12392.70,0.000000011158
80000,12316.58,1505.72,0.12,12408.28,0.000000011285
80000,12321.86,1488.36,0.12,12411.42,0.000000011285
80000,12321.84,1493.58,0.12,12412.03,0.000000011285
85000,12341.66,1591.06,0.13,12443.80,0.000000011406
85000,12350.30,1611.46,0.13,12454.99,0.000000011406
85000,12351.53,1599.13,0.13,12454.62,0.000000011406
90000,12369.67,1653.58,0.13,12479.70,0.000000011524
90000,12392.62,1657.98,0.13,12503.04,0.000000011524
90000,12389.42,1655.54,0.13,12499.55,0.000000011524
95000,12424.78,1673.24,0.13,12536.94,0.000000011678
95000,12427.58,1696.95,0.14,12542.90,0.000000011678
95000,12410.66,1669.26,0.13,12522.42,0.000000011678
100000,12462.55,1838.90,0.15,12597.48,0.000000011782
100000,12467.34,1826.72,0.15,12600.45,0.000000011782
100000,12466.65,1828.46,0.15,12600.03,0.000000011782
5000,12205.81,-480.38,-0.04,12215.26,0.000000010351
5000,12208.82,-486.60,-0.04,12218.51,0.000000010351
5000,12211.93,-485.10,-0.04,12221.56,0.000000010351
10000,12133.59,-111.58,-0.01,12134.10,0.000000010363
10000,12130.57,-112.00,-0.01,12131.09,0.000000010363
10000,12129.69,-116.74,-0.01,12130.25,0.000000010363
15000,12088.79,89.74,0.01,12089.12,0.000000010398
15000,12081.75,92.59,0.01,12082.11,0.000000010398
15000,12087.32,89.35,0.01,12087.65,0.000000010398
20000,12059.37,246.03,0.02,12061.88,0.000000010449
20000,12053.79,252.02,0.02,12056.42,0.000000010449
20000,12053.24,253.43,0.02,12055.90,0.000000010449
25000,12067.96,403.25,0.03,12074.69,0.000000010462
25000,12067.96,403.25,0.03,12074.69,0.000000010462
25000,12069.37,400.54,0.03,12076.01,0.000000010462
30000,12084.94,509.50,0.04,12095.67,0.000000010495
30000,12080.25,508.24,0.04,12090.94,0.000000010495
30000,12087.48,505.65,0.04,12098.05,0.000000010495
35000,12104.73,608.78,0.05,12120.03,0.000000010534
35000,12105.81,619.67,0.05,12121.66,0.000000010534
35000,12109.74,614.88,0.05,12125.34,0.000000010534
40000,12120.81,733.20,0.06,12142.97,0.000000010589
40000,12121.91,734.31,0.06,12144.13,0.000000010589
40000,12117.50,734.29,0.06,12139.72,0.000000010589
45000,12139.37,967.08,0.08,12177.83,0.000000010658
45000,12069.34,971.68,0.08,12108.39,0.000000010658
45000,12175.32,941.01,0.08,12211.63,0.000000010658
50000,12138.23,948.08,0.08,12175.20,0.000000010732
50000,12130.64,956.83,0.08,12168.32,0.000000010732
50000,12143.56,944.60,0.08,12180.24,0.000000010732
55000,12167.15,1048.64,0.09,12212.25,0.000000010797
55000,12165.66,1045.78,0.09,12210.53,0.000000010797
55000,12166.40,1047.21,0.09,12211.39,0.000000010797
60000,12183.25,1136.77,0.09,12236.17,0.000000010882
60000,12169.95,1138.60,0.09,12223.10,0.000000010882
60000,12165.12,1135.28,0.09,12217.98,0.000000010882
65000,12178.34,1224.13,0.10,12239.71,0.000000010975
65000,12178.80,1225.71,0.10,12240.32,0.000000010975
65000,12179.46,1222.09,0.10,12240.62,0.000000010975
70000,12222.43,1297.07,0.11,12291.06,0.000000011067
70000,12224.00,1305.28,0.11,12293.49,0.000000011067
70000,12223.44,1293.47,0.11,12291.68,0.000000011067
75000,12271.63,1402.66,0.11,12351.54,0.000000011158
75000,12212.83,1357.28,0.11,12288.02,0.000000011158
75000,12263.01,1401.76,0.11,12342.86,0.000000011158
80000,12297.55,1493.50,0.12,12387.91,0.000000011285
80000,12285.46,1486.54,0.12,12375.07,0.000000011285
80000,12285.45,1491.72,0.12,12375.68,0.000000011285
85000,12312.69,1579.41,0.13,12413.58,0.000000011406
85000,12319.02,1587.09,0.13,12420.83,0.000000011406
85000,12319.57,1599.52,0.13,12422.97,0.000000011406
90000,12368.24,1651.48,0.13,12478.01,0.000000011524
90000,12371.43,1653.91,0.13,12481.49,0.000000011524
90000,12374.96,1654.59,0.13,12485.08,0.000000011524
95000,12381.54,1664.84,0.13,12492.96,0.000000011678
95000,12385.56,1703.92,0.14,12502.21,0.000000011678
95000,12366.06,1692.62,0.14,12481.36,0.000000011678
100000,12434.09,1829.70,0.15,12567.99,0.000000011782
100000,12434.77,1827.97,0.15,12568.41,0.000000011782
100000,12425.81,1830.43,0.15,12559.90,0.000000011782
5000,11591.68,-440.69,-0.04,11600.05,0.000000010351
5000,11548.69,-437.46,-0.04,11556.97,0.000000010351
5000,11547.47,-419.48,-0.04,11555.09,0.000000010351
10000,12663.12,-139.99,-0.01,12663.89,0.000000010363
10000,12821.36,-142.29,-0.01,12822.15,0.000000010363
10000,12942.97,-143.16,-0.01,12943.76,0.000000010363
15000,13394.38,46.63,0.00,13394.46,0.000000010398
15000,13622.20,36.21,0.00,13622.25,0.000000010398
15000,14103.86,-3.52,-0.00,14103.86,0.000000010398
20000,14867.33,152.21,0.01,14868.11,0.000000010449
20000,15019.84,163.16,0.01,15020.73,0.000000010449
20000,15180.02,176.19,0.01,15181.04,0.000000010449
25000,15321.10,348.67,0.02,15325.06,0.000000010462
25000,15347.50,345.23,0.02,15351.38,0.000000010462
25000,15343.10,348.56,0.02,15347.06,0.000000010462
30000,15333.17,460.51,0.03,15340.08,0.000000010495
30000,14205.87,443.94,0.03,14212.81,0.000000010495
30000,14171.52,454.77,0.03,14178.82,0.000000010495
35000,14187.79,575.78,0.04,14199.47,0.000000010534
35000,14168.85,568.99,0.04,14180.27,0.000000010534
35000,14156.82,556.89,0.04,14167.77,0.000000010534
40000,14149.17,688.75,0.05,14165.93,0.000000010589
40000,14149.11,685.75,0.05,14165.72,0.000000010589
40000,14147.07,660.25,0.05,14162.47,0.000000010589
45000,13703.62,811.81,0.06,13727.65,0.000000010658
45000,13694.73,832.41,0.06,13720.01,0.000000010658
45000,13337.02,783.85,0.06,13360.04,0.000000010658
50000,12904.86,920.54,0.07,12937.65,0.000000010732
50000,12946.11,888.27,0.07,12976.55,0.000000010732
50000,12922.54,882.50,0.07,12952.64,0.000000010732
55000,12911.97,990.59,0.08,12949.91,0.000000010797
55000,12905.61,994.05,0.08,12943.83,0.000000010797
55000,12884.28,985.10,0.08,12921.89,0.000000010797
60000,12819.80,1076.23,0.08,12864.89,0.000000010882
60000,12793.82,1079.41,0.08,12839.27,0.000000010882
60000,12800.61,1086.28,0.08,12846.62,0.000000010882
65000,12809.65,1168.83,0.09,12862.86,0.000000010975
65000,12798.60,1176.07,0.09,12852.52,0.000000010975
65000,12796.98,1170.87,0.09,12850.44,0.000000010975
70000,12824.35,1258.83,0.10,12885.99,0.000000011067
70000,12818.50,1248.79,0.10,12879.19,0.000000011067
70000,12808.18,1262.19,0.10,12870.22,0.000000011067
75000,12825.20,1347.89,0.10,12895.84,0.000000011158
75000,12827.63,1370.03,0.11,12900.58,0.000000011158
75000,12767.47,1346.86,0.11,12838.32,0.000000011158
80000,12753.04,1441.09,0.11,12834.20,0.000000011285
80000,12741.87,1439.38,0.11,12822.91,0.000000011285
80000,12736.37,1445.02,0.11,12818.08,0.000000011285
85000,12751.81,1549.22,0.12,12845.58,0.000000011406
85000,12746.49,1567.66,0.12,12842.53,0.000000011406
85000,12698.18,1582.27,0.12,12796.38,0.000000011406
90000,12822.67,1980.98,0.15,12974.78,0.000000011524
90000,12823.99,1975.31,0.15,12975.23,0.000000011524
90000,12804.81,1980.76,0.15,12957.10,0.000000011524
95000,12834.29,2086.28,0.16,13002.76,0.000000011678
95000,12796.49,2062.99,0.16,12961.71,0.000000011678
95000,12797.19,2011.53,0.16,12954.32,0.000000011678
100000,12854.23,2210.23,0.17,13042.87,0.000000011782
100000,12838.99,2209.94,0.17,13027.79,0.000000011782
100000,12838.44,2196.54,0.17,13024.99,0.000000011782
5000,12784.07,-611.18,-0.05,12798.67,0.000000010351
5000,12775.55,-612.61,-0.05,12790.23,0.000000010351
5000,12774.01,-607.48,-0.05,12788.45,0.000000010351
10000,12615.73,-173.01,-0.01,12616.92,0.000000010363
10000,12610.61,-172.02,-0.01,12611.79,0.000000010363
10000,12607.35,-172.44,-0.01,12608.53,0.000000010363
15000,12530.21,77.17,0.01,12530.45,0.000000010398
15000,12535.70,81.98,0.01,12535.97,0.000000010398
15000,12534.12,81.57,0.01,12534.39,0.000000010398
20000,12493.98,271.43,0.02,12496.93,0.000000010449
20000,12491.27,273.88,0.02,12494.28,0.000000010449
20000,12488.56,276.32,0.02,12491.62,0.000000010449
25000,12495.09,456.01,0.04,12503.41,0.000000010462
25000,12495.09,456.01,0.04,12503.41,0.000000010462
25000,12494.32,457.45,0.04,12502.69,0.000000010462
30000,12506.71,590.63,0.05,12520.65,0.000000010495
30000,12509.44,592.47,0.05,12523.46,0.000000010495
30000,12502.62,587.86,0.05,12516.44,0.000000010495
35000,12513.95,719.65,0.06,12534.62,0.000000010534
35000,12516.97,741.72,0.06,12538.93,0.000000010534
35000,12496.19,745.76,0.06,12518.42,0.000000010534
40000,12545.52,870.36,0.07,12575.68,0.000000010589
40000,12523.39,854.53,0.07,12552.51,0.000000010589
40000,12537.65,850.08,0.07,12566.44,0.000000010589
45000,12576.57,667.56,0.05,12594.27,0.000000010658
45000,12298.63,838.32,0.07,12327.16,0.000000010658
45000,12240.34,1214.44,0.10,12300.44,0.000000010658
50000,12543.90,1128.76,0.09,12594.58,0.000000010732
50000,12534.38,1116.66,0.09,12584.02,0.000000010732
50000,12391.03,1256.59,0.10,12454.58,0.000000010732
55000,12566.04,1259.98,0.10,12629.05,0.000000010797
55000,12567.63,1255.37,0.10,12630.18,0.000000010797
55000,12602.55,1299.91,0.10,12669.41,0.000000010797
60000,12577.62,1369.78,0.11,12651.99,0.000000010882
60000,12574.62,1361.60,0.11,12648.13,0.000000010882
60000,12582.69,1373.49,0.11,12657.43,0.000000010882
65000,12616.70,1473.57,0.12,12702.46,0.000000010975
65000,12611.94,1469.31,0.12,12697.25,0.000000010975
65000,12621.45,1477.84,0.12,12707.68,0.000000010975
70000,12659.60,1573.50,0.12,12757.01,0.000000011067
70000,12649.75,1580.48,0.12,12748.10,0.000000011067
70000,12638.82,1580.34,0.12,12737.24,0.000000011067
75000,12685.04,1714.11,0.13,12800.33,0.000000011158
75000,12677.55,1710.84,0.13,12792.47,0.000000011158
75000,12691.47,1697.28,0.13,12804.46,0.000000011158
80000,12688.79,1826.23,0.14,12819.54,0.000000011285
80000,12624.37,1780.87,0.14,12749.36,0.000000011285
80000,12695.29,1806.11,0.14,12823.12,0.000000011285
85000,12727.45,1947.07,0.15,12875.52,0.000000011406
85000,12736.54,1950.30,0.15,12884.99,0.000000011406
85000,12707.95,1949.96,0.15,12856.68,0.000000011406
90000,12759.38,2021.48,0.16,12918.52,0.000000011524
90000,12758.42,2017.29,0.16,12916.92,0.000000011524
90000,12777.14,2021.82,0.16,12936.11,0.000000011524
95000,12790.46,2110.72,0.16,12963.45,0.000000011678
95000,12772.31,2067.18,0.16,12938.51,0.000000011678
95000,12767.05,2100.52,0.16,12938.69,0.000000011678
100000,12849.95,2239.10,0.17,13043.57,0.000000011782
100000,12843.65,2238.43,0.17,13037.25,0.000000011782
100000,12858.40,2249.57,0.17,13053.70,0.000000011782
5000,12687.70,-564.81,-0.04,12700.26,0.000000010351
5000,12685.95,-568.11,-0.04,12698.66,0.000000010351
5000,12684.32,-566.40,-0.04,12696.96,0.000000010351
10000,12600.73,-160.03,-0.01,12601.75,0.000000010363
10000,12623.61,-156.99,-0.01,12624.59,0.000000010363
10000,12650.30,-156.78,-0.01,12651.27,0.000000010363
15000,12615.81,87.74,0.01,12616.11,0.000000010398
15000,12653.74,80.54,0.01,12654.00,0.000000010398
15000,12703.17,83.14,0.01,12703.44,0.000000010398
20000,12700.38,271.83,0.02,12703.29,0.000000010449
20000,12702.91,274.63,0.02,12705.88,0.000000010449
20000,12702.30,276.20,0.02,12705.30,0.000000010449
25000,12735.06,462.07,0.04,12743.44,0.000000010462
25000,12747.97,463.12,0.04,12756.38,0.000000010462
25000,12752.49,465.50,0.04,12760.99,0.000000010462
30000,12768.97,595.34,0.05,12782.84,0.000000010495
30000,12768.47,599.14,0.05,12782.52,0.000000010495
30000,12774.16,602.98,0.05,12788.39,0.000000010495
35000,12787.31,744.45,0.06,12808.96,0.000000010534
35000,12785.37,736.03,0.06,12806.54,0.000000010534
35000,12794.70,730.32,0.06,12815.52,0.000000010534
40000,12835.33,857.88,0.07,12863.97,0.000000010589
40000,12840.81,893.95,0.07,12871.89,0.000000010589
40000,12846.19,874.21,0.07,12875.90,0.000000010589
45000,12454.68,1110.38,0.09,12504.08,0.000000010658
45000,13086.01,655.31,0.05,13102.41,0.000000010658
45000,13218.96,1094.86,0.08,13264.23,0.000000010658
50000,12828.91,1159.02,0.09,12881.16,0.000000010732
50000,12826.46,1158.45,0.09,12878.67,0.000000010732
50000,12857.81,1168.43,0.09,12910.79,0.000000010732
55000,12883.69,1308.32,0.10,12949.95,0.000000010797
55000,12884.53,1305.91,0.10,12950.54,0.000000010797
55000,12896.69,1306.07,0.10,12962.65,0.000000010797
60000,12908.70,1416.36,0.11,12986.17,0.000000010882
60000,12938.24,1411.45,0.11,13015.00,0.000000010882
60000,12958.75,1435.43,0.11,13038.01,0.000000010882
65000,12401.92,1336.52,0.11,12473.73,0.000000010975
65000,12404.47,1339.36,0.11,12476.57,0.000000010975
65000,12385.13,1327.02,0.11,12456.02,0.000000010975
70000,12395.10,1410.22,0.11,12475.07,0.000000011067
