Freq,Real,Imag,Phase,Impedance,Gain
5000,141916.73,-4464.66,-0.03,141986.93,0.000000010351
5000,119545.27,-6029.13,-0.05,119697.21,0.000000010351
5000,167492.29,-8320.52,-0.05,167698.84,0.000000010351
10000,173073.20,-16296.98,-0.09,173838.79,0.000000010363
10000,158979.82,-15790.72,-0.10,159762.10,0.000000010363
10000,128387.44,-10055.21,-0.08,128780.60,0.000000010363
15000,194685.25,-31304.16,-0.16,197185.93,0.000000010398
15000,186080.04,-26561.39,-0.14,187966.20,0.000000010398
15000,154311.65,-17672.60,-0.11,155320.34,0.000000010398
20000,185837.21,-34241.66,-0.18,188965.51,0.000000010449
20000,206576.54,-43434.03,-0.21,211093.29,0.000000010449
20000,222828.12,-47933.92,-0.21,227925.51,0.000000010449
25000,168005.70,-35259.50,-0.21,171665.79,0.000000010462
25000,154893.60,-30064.67,-0.19,157784.39,0.000000010462
25000,164681.75,-34651.07,-0.21,168287.78,0.000000010462
30000,191524.53,-58532.48,-0.30,200269.07,0.000000010495
30000,201117.56,-60264.54,-0.29,209952.59,0.000000010495
30000,193679.53,-58298.46,-0.29,202263.37,0.000000010495
35000,153632.67,-38132.53,-0.24,158294.31,0.000000010534
35000,147959.50,-41599.82,-0.27,153696.32,0.000000010534
35000,156929.81,-41942.43,-0.26,162438.09,0.000000010534
40000,180017.42,-64376.71,-0.34,191182.20,0.000000010589
40000,171199.57,-62676.28,-0.35,182311.85,0.000000010589
40000,166738.76,-53579.07,-0.31,175135.76,0.000000010589
45000,117407.56,-60148.33,-0.47,131917.98,0.000000010658
45000,149144.68,-43264.25,-0.28,155293.04,0.000000010658
45000,155308.84,-20786.39,-0.13,156693.68,0.000000010658
50000,145812.96,-55983.05,-0.37,156190.67,0.000000010732
50000,146739.17,-54821.89,-0.36,156645.54,0.000000010732
50000,119075.04,-46707.21,-0.37,127907.90,0.000000010732
55000,118798.67,-33957.61,-0.28,123556.64,0.000000010797
55000,117236.01,-33506.04,-0.28,121930.05,0.000000010797
55000,122042.58,-38615.90,-0.31,128006.17,0.000000010797
60000,125863.46,-46071.70,-0.35,134030.64,0.000000010882
60000,128313.85,-44641.75,-0.33,135857.76,0.000000010882
60000,115504.65,-39748.90,-0.33,122152.78,0.000000010882
65000,104710.79,-30943.51,-0.29,109187.24,0.000000010975
65000,102595.70,-29065.27,-0.28,106633.33,0.000000010975
65000,101080.22,-27970.42,-0.27,104878.77,0.000000010975
70000,93454.04,-24404.82,-0.26,96588.06,0.000000011067
70000,91411.39,-24563.32,-0.26,94654.10,0.000000011067
70000,88581.17,-23221.72,-0.26,91574.41,0.000000011067
75000,85777.77,-21318.15,-0.24,88387.16,0.000000011158
75000,83153.32,-21010.52,-0.25,85766.64,0.000000011158
75000,81642.95,-19786.05,-0.24,84006.31,0.000000011158
80000,81312.99,-21065.61,-0.25,83997.39,0.000000011285
80000,84230.71,-13336.22,-0.16,85279.94,0.000000011285
80000,79806.59,-20738.01,-0.25,82457.00,0.000000011285
85000,78157.34,-20081.17,-0.25,80695.87,0.000000011406
85000,78216.08,-21082.58,-0.26,81007.60,0.000000011406
85000,76408.40,-20181.80,-0.26,79028.79,0.000000011406
90000,77361.91,-20615.92,-0.26,80061.74,0.000000011524
90000,76614.66,-20025.06,-0.26,79188.44,0.000000011524
90000,76735.12,-20105.38,-0.26,79325.32,0.000000011524
95000,73459.67,-16586.71,-0.22,75308.98,0.000000011678
95000,71477.29,-21029.33,-0.29,74506.62,0.000000011678
95000,74815.14,-16543.93,-0.22,76622.49,0.000000011678
100000,72531.59,-17678.71,-0.24,74655.00,0.000000011782
100000,70343.14,-17919.93,-0.25,72589.82,0.000000011782
100000,70815.53,-16633.77,-0.23,72742.85,0.000000011782
5000,83767.66,-3214.62,-0.04,83829.32,0.000000010351
5000,83257.18,-3496.21,-0.04,83330.57,0.000000010351
5000,84203.32,-3440.10,-0.04,84273.57,0.000000010351
10000,83691.64,-4185.17,-0.05,83796.23,0.000000010363
10000,83905.88,-4099.61,-0.05,84005.98,0.000000010363
10000,83122.16,-4361.07,-0.05,83236.49,0.000000010363
15000,84401.88,-4894.03,-0.06,84543.65,0.000000010398
15000,84408.05,-5567.38,-0.07,84591.46,0.000000010398
15000,84006.43,-5315.48,-0.06,84174.43,0.000000010398
20000,85070.12,-6911.44,-0.08,85350.42,0.000000010449
20000,83786.70,-6523.47,-0.08,84040.26,0.000000010449
20000,83995.03,-6863.22,-0.08,84274.97,0.000000010449
25000,83149.08,-7614.29,-0.09,83496.99,0.000000010462
25000,83010.88,-7347.83,-0.09,83335.46,0.000000010462
25000,82816.24,-7468.95,-0.09,83152.35,0.000000010462
30000,82688.79,-8011.89,-0.10,83076.03,0.000000010495
30000,81922.33,-8697.56,-0.11,82382.74,0.000000010495
30000,82892.72,-8176.12,-0.10,83294.98,0.000000010495
35000,80411.00,-8046.02,-0.10,80812.56,0.000000010534
35000,80087.39,-8910.34,-0.11,80581.53,0.000000010534
35000,80883.17,-9870.35,-0.12,81483.21,0.000000010534
40000,80049.14,-9971.26,-0.12,80667.78,0.000000010589
40000,79964.32,-9783.04,-0.12,80560.54,0.000000010589
40000,79657.80,-8036.57,-0.10,80062.17,0.000000010589
45000,81295.10,-2503.30,-0.03,81333.64,0.000000010658
45000,82192.18,-18244.96,-0.22,84192.83,0.000000010658
45000,88280.67,-14413.20,-0.16,89449.52,0.000000010658
50000,79498.33,-11395.45,-0.14,80310.90,0.000000010732
50000,79682.91,-11035.78,-0.14,80443.49,0.000000010732
50000,80338.20,-12526.19,-0.15,81308.87,0.000000010732
55000,80647.51,-12686.20,-0.16,81639.21,0.000000010797
55000,82122.53,-13544.25,-0.16,83231.94,0.000000010797
55000,80953.04,-14051.14,-0.17,82163.43,0.000000010797
60000,85157.88,-16034.76,-0.19,86654.36,0.000000010882
60000,86000.60,-17364.28,-0.20,87736.08,0.000000010882
60000,86048.75,-15162.45,-0.17,87374.41,0.000000010882
65000,85735.54,-17043.28,-0.20,87413.14,0.000000010975
65000,86419.67,-18015.41,-0.21,88277.50,0.000000010975
65000,83965.42,-17220.48,-0.20,85713.12,0.000000010975
70000,86120.78,-18638.54,-0.21,88114.60,0.000000011067
70000,84379.35,-18852.20,-0.22,86459.71,0.000000011067
70000,85289.08,-18363.65,-0.21,87243.63,0.000000011067
75000,84188.69,-13320.39,-0.16,85235.96,0.000000011158
75000,85059.23,-20091.61,-0.23,87399.92,0.000000011158
75000,86906.32,-20835.16,-0.24,89368.97,0.000000011158
80000,87263.28,-23357.59,-0.26,90335.25,0.000000011285
80000,87969.31,-22876.60,-0.25,90895.21,0.000000011285
80000,87268.86,-23618.22,-0.26,90408.38,0.000000011285
85000,83692.81,-21796.58,-0.25,86484.55,0.000000011406
85000,84029.41,-21084.19,-0.25,86634.20,0.000000011406
85000,81189.00,-22119.95,-0.27,84148.35,0.000000011406
90000,79338.69,-22567.18,-0.28,82485.79,0.000000011524
90000,82710.18,-22466.74,-0.27,85707.22,0.000000011524
90000,82113.21,-21853.40,-0.26,84971.47,0.000000011524
95000,84642.66,-24065.08,-0.28,87997.21,0.000000011678
95000,80294.12,-22163.97,-0.27,83296.98,0.000000011678
95000,81429.57,-27113.69,-0.32,85824.98,0.000000011678
100000,80928.84,-23694.45,-0.28,84326.18,0.000000011782
100000,81315.39,-25952.98,-0.31,85356.60,0.000000011782
100000,79679.29,-25089.07,-0.31,83535.92,0.000000011782
5000,98669.40,-3919.54,-0.04,98747.23,0.000000010351
5000,93944.95,-4487.87,-0.05,94052.09,0.000000010351
5000,95155.24,-4336.24,-0.05,95253.99,0.000000010351
10000,98936.76,-5869.04,-0.06,99110.69,0.000000010363
10000,99649.67,-5737.75,-0.06,99814.73,0.000000010363
10000,102089.16,-5846.34,-0.06,102256.42,0.000000010363
15000,97718.53,-7911.85,-0.08,98038.31,0.000000010398
15000,99039.05,-7903.39,-0.08,99353.90,0.000000010398
15000,99382.73,-7148.01,-0.07,99639.46,0.000000010398
20000,100327.25,-9778.87,-0.10,100802.69,0.000000010449
20000,102316.85,-9946.15,-0.10,102799.14,0.000000010449
20000,103065.61,-10521.53,-0.10,103601.27,0.000000010449
25000,105470.82,-12468.91,-0.12,106205.32,0.000000010462
25000,104723.48,-11655.59,-0.11,105370.10,0.000000010462
25000,103843.89,-11358.36,-0.11,104463.23,0.000000010462
30000,105622.43,-14822.30,-0.14,106657.39,0.000000010495
30000,106599.32,-13725.81,-0.13,107479.36,0.000000010495
30000,105666.79,-13463.54,-0.13,106521.07,0.000000010495
35000,105823.12,-16727.21,-0.16,107136.99,0.000000010534
35000,106539.78,-17034.42,-0.16,107892.98,0.000000010534
35000,110397.00,-15773.90,-0.14,111518.23,0.000000010534
40000,109652.78,-19958.89,-0.18,111454.43,0.000000010589
40000,111394.68,-21524.90,-0.19,113455.27,0.000000010589
40000,110744.03,-21715.19,-0.19,112852.96,0.000000010589
45000,94264.17,-18252.20,-0.19,96014.99,0.000000010658
